rotation,method,ip_err
rht,direct-m512-o8,322.921997
rht,direct-m512-o8,427.312134
rht,direct-m512-o8,305.071655
rht,direct-m512-o8,500.957764
rht,direct-m512-o8,393.572327
rht,direct-m512-o8,386.565308
rht,direct-m512-o8,473.788635
rht,direct-m512-o8,377.671265
rht,direct-m512-o8,268.978699
rht,direct-m512-o8,376.660522
rht,direct-m512-o8,374.300903
rht,direct-m512-o8,339.326172
rht,direct-m512-o8,264.824341
rht,direct-m512-o8,284.216553
rht,direct-m512-o8,414.995911
rht,direct-m512-o8,393.36908
rht,direct-m512-o8,378.728516
rht,direct-m512-o8,412.603027
rht,direct-m512-o8,376.417847
rht,direct-m512-o8,371.349487
rht,direct-m512-o8,365.225586
rht,direct-m512-o8,361.73999
rht,direct-m512-o8,296.969238
rht,direct-m512-o8,318.080322
rht,direct-m512-o8,248.981689
rht,direct-m512-o8,404.617554
rht,direct-m512-o8,422.427795
